Rating;Comments
5.0 out of 5 stars;Moisturizes well and helps with dry skin. Gentle enough to use on face. Hard to find quality, non-irritating fragrance free lotions, but this works wonders!
5.0 out of 5 stars;"If you're like me and have been battling relentless dry skin, especially during the harsh winter months, then you'll understand the struggle of finding the perfect moisturizer. Enter CeraVe Daily Moisturizing Lotion – a game-changer in the realm of skincare.

I recently found myself in dire need of a solution to combat my dry skin, particularly on my face. I had tried countless products, only to be disappointed by their thick consistency that refused to blend seamlessly into my skin, leaving residue in my beard and an unpleasant oily film on my hands. That's when I stumbled upon CeraVe, and let me tell you, it's been a game-changer.

First and foremost, let's talk about texture. The CeraVe Daily Moisturizing Lotion boasts a lightweight and silky-smooth texture that glides effortlessly onto the skin. Gone are the days of struggling to rub in thick, stubborn creams – this lotion absorbs quickly and easily, leaving behind no residue or oily feeling. It's a breath of fresh air for anyone tired of dealing with greasy, heavy moisturizers.

One of my favorite things about this lotion is its beard-friendly nature. Unlike other products that would stubbornly cling to my short beard, leaving it feeling greasy and weighed down, the CeraVe lotion effortlessly absorbs into the skin without a trace. No more worrying about product buildup or an unkempt appearance – just smooth, hydrated skin, even in the most stubborn areas.

But the real magic of CeraVe lies in its effectiveness. Not only does it provide instant relief from dry, irritated skin, but it also delivers long-lasting hydration that keeps my skin feeling soft and supple throughout the day. Paired with the CeraVe nighttime moisturizer, it's a dynamic duo that ensures my skin stays hydrated and healthy around the clock.

In conclusion, the CeraVe Daily Moisturizing Lotion is a skincare savior for anyone struggling with dry, irritated skin. Its lightweight texture, beard-friendly formula, and unmatched hydration make it a must-have in any skincare routine. Say goodbye to dry skin woes and hello to smooth, nourished skin with CeraVe"
5.0 out of 5 stars;"This is a no frills moisturizer. It’s just a staple for me at this point and lasts forever.

My skin is noticeably softer and more supple the morning I wake up after applying at night. This really does lock in moisture.

Thinner consistency and non greasy so it’s great for daytime too. I think people who hate thick moisturizers will love this."
4.0 out of 5 stars;"I am a mid-thirties male, and I purchased this mostly because I wanted a simple, non-greasy moisturizes for days when my skin - mostly my arms - are a bit dry. My skin is naturally oily, so this is only the case when the weather or work conditions turn against me. CeraVe has proved adequate to the task, though it is still just a little oily in that I can feel it on the skin after it has dried, or been absorbed, or whatever it does.

As anyone can see, the moisturizer market is enormous and diverse beyond measure, and I didn't want to get into a long process of research to find the best one. Nor did I want a moisturizer marketed just for men or one which needs to be paired with three other products to be effective, or has a place in a lengthy twice-a-day skincare routine. I just wanted a simple, relatively inexpensive lotion for occasional use.

This works well enough. You get plenty in the bottle, it moistens dry skin, it doesn't have a particularly notable smell. It isn't oily, but I can still sort of feel it on my skin even after it has been 20m, so I may need to look at least a little further to find something that isn't like that, but this sufficient for my purposes.

If your interest in the same as mine, I'd recommend it."
5.0 out of 5 stars;CeraVe Daily Moisturizing Lotion has become my go-to for dry skin! With my extremely sensitive skin, I often struggle to find moisturizers that don’t cause irritation, but this lotion works perfectly. It provides long-lasting hydration without feeling greasy, and the hyaluronic acid gives my skin an extra moisture boost. It absorbs quickly and leaves my skin feeling soft and smooth all day. I’m thrilled that it’s gentle enough for both my face and body. I can’t recommend it enough—definitely a five-star product!
5.0 out of 5 stars;I am using this body lotion on regular basis but  still ,i don't have any alergic reaction on my skin.This lotion is not greesy and after apply on skin it will become smooth and hydrated.Nice body lotion.
5.0 out of 5 stars;CeraVe Daily Moisturizing Lotion is a must-have for anyone seeking deep, long-lasting moisture. It's lightweight, non-greasy, and absorbs quickly, leaving my skin feeling soft and hydrated all day. Perfect for sensitive skin, this cream has become an essential part of my skincare routine. Highly recommended!
5.0 out of 5 stars;I bought this product because it's touted as a moisturizer that works just as well for your face as for your body, plus the multiple rave reviews. Thus far, I've been pretty happy with it. It absorbs nicely into my facial complexion without a 'heavy' greasy feeling, and on my arms it leaves it feeling a lot softer than without. I also wanted to use it an an unscented 'base' to allow my colognes to last longer on me, but I haven't confirmed whether it makes a measurable difference in that regard.
5.0 out of 5 stars;"I LIKE EVERYTHING ABOUT THIS PRODUCT (Please reference my Assessment of CeraVe Foaming Oil Cleanser) BOTH PRODUCTS are large size; great value for money.

This lotion is lightweight; small amount goes a long way; application to skin dries rapidly (put on face and body after getting out of shower while pores are opened - this effectively moisturizes hydrating skin). It doesn’t have any perfume in it. So, if your preference is this,
you won’t like this lotion!"
5.0 out of 5 stars;Perfect skin care product after you get out the shower/bath or whenever. Keeps your skin tone and appearance looking hydrated and moist all day, not oily at all. I use it everyday.
5.0 out of 5 stars;"I wouldn't recommend this product to someone that has moderate to severely dry skin. If you are someone who doesn't like the heaviness of product and just looking for a nice, shear feel.. this is a great product for you. For someone who needs more thickness, I recommend ""Cerave-SA"" cream."
5.0 out of 5 stars;I love this lotion. It's makes the skin fresh, clean, soft & it's thickness is great. I use it on my face too.??feels cool.
5.0 out of 5 stars;I got well moisturized skin all throughout the day when I used it. And it didn't irritate my skin. I love it.
5.0 out of 5 stars;this is amazing. It has made a huge difference in my skin compared to the other product I was using.
